ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot
201.8638145314162,-47.64313339037188,-2.9494577515780853,-7.14674650519339,0.4169268723542264,2.6483731,17.999954,18.344736,17.592157,1.0355568,5759.3135
201.85137921196983,-47.626725247958035,-3.787658233503459,-6.372639006215511,0.199646774080394,2.6389177,16.551405,16.987532,15.942022,0.9806732,6505.1416
201.8535074864965,-47.632432929983125,-3.6391091033622143,-6.900768841686423,0.1536780317850789,0.59746104,18.640226,19.059624,18.207905,1.1005832,5493.355
201.88193643239953,-47.614386276461865,-3.719580011244599,-7.199383049343599,0.3839600433983434,3.7625773,17.284826,17.638414,16.76886,0.9725565,5504.8115
201.8714309705126,-47.6152876976849,-3.4747512296154524,-6.848452629724433,0.1671804777690323,3.1704104,15.636846,15.628997,15.52865,1.1003915,12712.023
201.8976771988252,-47.61425354061091,-3.603298145374838,-6.857744261843361,0.1712614230113705,1.143104,18.003187,18.352747,17.557745,1.0697813,5710.8467
201.9103394632508,-47.602171110320896,-2.563297122500519,-6.2903467563884785,0.1108466545957043,0.4701951,18.732283,18.809002,17.854738,0.8932034,5534.2305
201.8853675173158,-47.60661264873902,-3.764398422568731,-6.897403857233065,0.2078125332949318,2.0474646,17.257868,17.543308,16.61222,1.0506661,5657.1455
201.88853103403432,-47.599454604836474,-3.5971833750179996,-6.916625689028326,0.0128762743816174,0.07644032,18.025192,18.253956,17.461922,1.0568463,5680.7695
201.86238335069777,-47.61193948786291,-2.7204574506569426,-6.63261365453155,0.155911931701338,1.7764521,17.02112,17.390255,16.398825,0.96611744,5402.241
201.8757795490555,-47.603052407431086,-3.3054343015359846,-6.470858902622973,0.2633995856202201,1.3435487,18.464241,18.812836,18.036837,0.93346405,5621.5674
